feature,group,r,p_value
hue_bin_090_100,hue_hist,0.2639067856310654,1.9877859318566548e-19
hue_bin_080_090,hue_hist,0.21992162624333508,8.039708026147509e-14
dorsal_hue_mean,dorsal_ventral,0.21097442690608703,8.150916532206215e-13
hue_bin_070_080,hue_hist,0.17188982499851604,6.249688478142733e-09
hue_entropy,entropy,0.14629702552899268,8.030928892980467e-07
sat_bin_032_064,sat_hist,0.1461397255107848,8.254552288755175e-07
dv_diff_val_mean,dorsal_ventral,0.14203874326233107,1.6720942205973806e-06
dv_diff_hue_mean,dorsal_ventral,0.11774023850802492,7.376617689463795e-05
hue_bin_120_130,hue_hist,0.10034097029523727,0.000738675286134794
sat_bin_000_032,sat_hist,0.08916016225292242,0.0027250925196701872
gabor_t045_f0p4_std,gabor,0.06179121117206959,0.03798803126276976
gabor_t045_f0p2_std,gabor,0.05977390226018507,0.04473709672130311
val_bin_160_192,val_hist,0.058694537052038954,0.04874545536455083
hue_bin_010_020,hue_hist,0.05832902579064714,0.05016932648287872
hue_bin_130_140,hue_hist,0.057347449595399384,0.05416631366288764
domcol_4_sat,dom_colours,0.05719113630955533,0.054826686263244086
dorsal_sat_mean,dorsal_ventral,0.05380554684122218,0.07085547654001478
domcol_1_sat,dom_colours,0.0497802136042344,0.09470463353422967
gabor_t000_f0p2_std,gabor,0.04537648943129669,0.12773455653356874
gabor_t135_f0p4_std,gabor,0.0452818239943618,0.12853215230144
sat_bin_096_128,sat_hist,0.04403765647508566,0.1393774638161429
domcol_0_freq,dom_colours,0.04397080242694424,0.13997955925382605
hue_bin_110_120,hue_hist,0.040607052621729506,0.17292449934163412
domcol_0_sat,dom_colours,0.04057785680970688,0.17323383517756208
domcol_1_freq,dom_colours,0.039718174779675056,0.1825284716449265
gabor_t000_f0p2_mean,gabor,0.03933191174515148,0.18682286101899204
gabor_t000_f0p1_mean,gabor,0.037503675117641515,0.20816261060414193
sat_bin_224_256,sat_hist,0.0373291757157592,0.21028814203799967
val_bin_128_160,val_hist,0.03520374999480408,0.23744454077171945
hue_bin_140_150,hue_hist,0.033179366600399676,0.2655265119749127
gabor_t090_f0p4_std,gabor,0.032075304765805765,0.28176875282279823
dv_diff_sat_mean,dorsal_ventral,0.031278037063100894,0.29390793817537786
lbp_bin_09,lbp,0.031009178584849514,0.29807940697772006
ventral_sat_mean,dorsal_ventral,0.030969025783546385,0.2987057702987267
lbp_bin_07,lbp,0.02855967874131409,0.33789682502732094
sat_bin_064_096,sat_hist,0.025117597578078476,0.39934588349371347
hue_bin_100_110,hue_hist,0.02504196481968202,0.4007674046308376
val_bin_000_032,val_hist,0.024382910235982873,0.41328235420980364
lbp_bin_05,lbp,0.022267087815925703,0.4549914619220871
lbp_bin_02,lbp,0.021890170351251934,0.4626624494746134
domcol_3_val,dom_colours,0.0208030030896394,0.48518686236402836
domcol_0_hue,dom_colours,0.018664862072323984,0.5311626551881723
hue_bin_030_040,hue_hist,0.017278870244839505,0.5621014254843927
gabor_t045_f0p2_mean,gabor,0.016672010085437713,0.5759164823058307
gabor_t090_f0p2_std,gabor,0.016442144005955117,0.5811908241744468
domcol_2_sat,dom_colours,0.01551330203442906,0.602729809499339
hue_bin_150_160,hue_hist,0.015229360227101866,0.6093850691092294
val_bin_224_256,val_hist,0.013614575618639269,0.6478367980515131
gabor_t000_f0p1_std,gabor,0.010036149786213318,0.7363385473010322
gabor_t135_f0p1_mean,gabor,0.0074385902496946835,0.8029301068058813
val_bin_192_224,val_hist,0.005211721272929791,0.8612002625108001
lbp_bin_04,lbp,0.00512523534907359,0.8634808043826282
gabor_t000_f0p4_std,gabor,0.0046603637549773695,0.875757980904211
domcol_3_sat,dom_colours,0.004056247799779903,0.8917568651110304
lbp_bin_08,lbp,0.0038166175734502435,0.8981156072260152
domcol_3_freq,dom_colours,0.0037847829817921168,0.8989608595041467
gabor_t135_f0p2_std,gabor,0.0036361183874334922,0.9029096095936653
lbp_bin_00,lbp,0.003567039724201738,0.9047452629516854
domcol_2_freq,dom_colours,0.0013989990779795219,0.9625655849973934
hue_bin_060_070,hue_hist,-0.0010971920999371526,0.9706371928838314
domcol_4_hue,dom_colours,-0.0012252372420836419,0.9672123039480667
gabor_t135_f0p2_mean,gabor,-0.005210697920337435,0.861227240514161
domcol_2_val,dom_colours,-0.006435472084027085,0.8290637453652069
ventral_val_mean,dorsal_ventral,-0.010242096701843218,0.7311352951585395
sat_bin_128_160,sat_hist,-0.01241161375172159,0.6771123969748409
gabor_t045_f0p1_mean,gabor,-0.012740001655750427,0.6690698302229371
lbp_entropy,entropy,-0.015828351140799533,0.5953839273116903
ventral_hue_mean,dorsal_ventral,-0.016792748737371674,0.5731551701073858
domcol_1_val,dom_colours,-0.017018539993219776,0.5680081854574027
lbp_bin_06,lbp,-0.020731112455566313,0.4866969447499427
domcol_0_val,dom_colours,-0.022284069792080564,0.4546475387918615
gabor_t045_f0p4_mean,gabor,-0.02337761479306476,0.4328110121080588
gabor_t135_f0p1_std,gabor,-0.025172400459399075,0.3983177563825651
domcol_3_hue,dom_colours,-0.025314586299743837,0.3956577200613319
lbp_bin_01,lbp,-0.030764993294673804,0.30190212453069254
domcol_1_hue,dom_colours,-0.031196509123954767,0.29516873213231026
gabor_t135_f0p4_mean,gabor,-0.0337244699654636,0.25774946814726724
dorsal_val_mean,dorsal_ventral,-0.0338473498897079,0.25601834556850805
gabor_t045_f0p1_std,gabor,-0.034069933391735405,0.25290318290339614
hue_bin_160_170,hue_hist,-0.03588687329669574,0.22845905426511817
sat_bin_192_224,sat_hist,-0.04196687189492911,0.15896973216210641
domcol_4_freq,dom_colours,-0.042009024804807615,0.15855116796828422
val_bin_064_096,val_hist,-0.045483398289184504,0.12683843291818472
gabor_t090_f0p1_std,gabor,-0.04619407330653115,0.12100514198812275
gabor_t000_f0p4_mean,gabor,-0.048707273183711486,0.10204377194771151
val_bin_032_064,val_hist,-0.051889610042469586,0.08151004773973153
sat_bin_160_192,sat_hist,-0.05843664329418605,0.04974652422485392
hue_bin_020_030,hue_hist,-0.06164367147752932,0.038450477992462935
gabor_t090_f0p4_mean,gabor,-0.06583633256856429,0.027028381449822975
gabor_t090_f0p1_mean,gabor,-0.06647859324540398,0.025567047885803842
hue_bin_050_060,hue_hist,-0.06783154580027984,0.02271054232129548
gabor_t090_f0p2_mean,gabor,-0.06832672196055184,0.021736584924577966
domcol_4_val,dom_colours,-0.06888862356915437,0.020675545647358975
lbp_bin_03,lbp,-0.07281823414571767,0.014437544141054732
domcol_2_hue,dom_colours,-0.07388202025530664,0.013063929725344418
hue_bin_040_050,hue_hist,-0.07760678101937271,0.009120009143296722
hue_bin_170_180,hue_hist,-0.07936909691692491,0.0076549850710730975
val_bin_096_128,val_hist,-0.08953608510583302,0.0026138026088648593
hue_bin_000_010,hue_hist,-0.09447743019160652,0.0014897057301088044
