epoch,train_loss,val_mask_AP,lr,elapsed_s
1,0.97962,1.0,0.0005,14.8
2,0.37522,1.0,0.0005,7.1
3,0.26187,1.0,0.0005,7.1
4,0.22437,1.0,0.0005,7.0
5,0.21107,1.0,0.0005,6.9
6,0.19036,1.0,0.0005,6.9
7,0.17256,1.0,0.0005,6.9
8,0.16281,1.0,0.0005,6.9
9,0.15117,1.0,0.0005,6.9
10,0.14346,1.0,0.0005,7.0
11,0.13684,1.0,0.0005,7.0
12,0.13077,1.0,0.0005,7.0
13,0.12775,1.0,0.0005,7.0
14,0.12348,1.0,0.0005,7.0
15,0.11717,1.0,5e-05,7.0
16,0.11535,1.0,5e-05,7.0
17,0.11484,1.0,5e-05,7.0
18,0.11798,1.0,5e-05,7.0
19,0.11311,1.0,5e-05,7.0
20,0.11404,1.0,5e-05,7.0
21,0.11404,1.0,5e-05,7.0
22,0.11313,1.0,5e-05,7.0
23,0.11253,1.0,5e-05,7.3
24,0.11372,1.0,5e-05,7.0
25,0.1124,1.0,5e-05,7.0
26,0.11392,1.0,5e-05,7.0
27,0.10966,1.0,5e-05,7.0
28,0.11067,1.0,5e-05,7.0
29,0.11319,1.0,5e-05,7.0
30,0.11169,1.0,5e-06,7.1
31,0.11121,1.0,5e-06,7.0
32,0.11168,1.0,5e-06,7.0
33,0.11231,1.0,5e-06,7.1
34,0.11166,1.0,5e-06,7.1
35,0.11001,1.0,5e-06,7.1
36,0.11018,1.0,5e-06,7.1
37,0.11021,1.0,5e-06,7.1
38,0.10993,1.0,5e-06,7.0
39,0.10905,1.0,5e-06,7.1
40,0.11199,1.0,5e-06,7.1
41,0.1088,1.0,5e-06,7.0
42,0.11115,1.0,5e-06,7.1
43,0.11078,1.0,5e-06,7.1
44,0.10997,1.0,5e-06,7.1
45,0.11054,1.0,5e-07,7.2
46,0.11054,1.0,5e-07,7.0
47,0.10974,1.0,5e-07,7.1
48,0.11097,1.0,5e-07,7.3
49,0.10892,1.0,5e-07,7.1
50,0.10915,1.0,5e-07,7.2
